name,site,phone_number,full_address,street,city,state,postal_code,review_count,review_stars,working_hours,latitude,longitude,source_url
Main Event Boxing and Fitness,http://maineventboxingandfitness.com/,+1 773 954 7014,"2510 Green Bay Rd, Evanston, IL 60201",2510 Green Bay Rd,Evanston,IL,60201,39,5,"{""Friday"":""6 AM–9 PM"",""Monday"":""6 AM–9 PM"",""Saturday"":""9 AM–5 PM"",""Sunday"":""9 AM–5 PM"",""Thursday"":""6 AM–9 PM"",""Tuesday"":""6 AM–9 PM"",""Wednesday"":""6 AM–9 PM""}",42.0629522,-87.6980313,"https://www.google.com/maps/place/Main+Event+Boxing+and+Fitness/@42.0629522,-87.8504666,12z/data=!4m11!1m3!2m2!1sboxing+class+in+chicago+for+kids!6e1!3m6!1s0x880fcf94241899e9:0x2c3b1ba8332fa860!8m2!3d42.0629522!4d-87.6980313!15sCiBib3hpbmcgY2xhc3MgaW4gY2hpY2FnbyBmb3Iga2lkc1oiIiBib3hpbmcgY2xhc3MgaW4gY2hpY2FnbyBmb3Iga2lkc5IBCmJveGluZ19neW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk9Obkp5T1RoM1JSQUKqAW8QASokIiBib3hpbmcgY2xhc3MgaW4gY2hpY2FnbyBmb3Iga2lkcygAMh8QASIbhco6FIpkbK7pwow5-3hBV7GSsiVz1S7oSCxwMiQQAiIgYm94aW5nIGNsYXNzIGluIGNoaWNhZ28gZm9yIGtpZHPgAQD6AQUI1gEQKQ!16s%2Fg%2F11ffvs3015?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
TITLE Boxing Club Chicago West Loop,https://titleboxingclub.com/chicago-west-loop-il/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button,+1 312 243 3130,"313 S Peoria St, Chicago, IL 60607",313 S Peoria St,Chicago,IL,60607,189,4.8,"{""Friday"":""7 AM–6 PM"",""Monday"":""7 AM–8 PM"",""Saturday"":""8 AM–1 PM"",""Sunday"":""9 AM–1 PM"",""Thursday"":""7 AM–8 PM"",""Tuesday"":""7 AM–8 PM"",""Wednesday"":""7 AM–8 PM""}",41.877532,-87.649364,"https://www.google.com/maps/place/TITLE+Boxing+Club+Chicago+West+Loop/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880e2cdd163a2d3d:0x309895fbe86324b7!8m2!3d41.877532!4d-87.649364!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNjRTlFTXpGUlJSQUKqAVIQASoQIgxib3hpbmcgY2xhc3MoADIfEAEiG9V-tnotL2lPKVxWnEuKfJugO_kQ8fImSYNPHDIbEAIiF2JveGluZyBjbGFzcyBpbiBjaGljYWdv4AEA-gEECDgQRg!16s%2Fg%2F11b61r3c1w?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
Title Boxing Club Chicago Lincoln Park,http://titleboxingclub.com/chicago-lincoln-park-il/,+1 773 327 7500,"2417 N Clark St, Chicago, IL 60614",2417 N Clark St,Chicago,IL,60614,333,4.8,"{""Friday"":""6–9 AM"",""Monday"":""6–9 AM"",""Saturday"":""8:30 AM–2:30 PM"",""Sunday"":""8:30 AM–1:30 PM"",""Thursday"":""6–9 AM"",""Tuesday"":""6–9 AM"",""Wednesday"":""6–9 AM""}",41.92606,-87.640642,"https://www.google.com/maps/place/Title+Boxing+Club+Chicago+Lincoln+Park/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880fd30d77ac50f7:0x8927c200f96e470e!8m2!3d41.92606!4d-87.640642!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUndjalo2WDNkQlJSQUKqAVIQASoQIgxib3hpbmcgY2xhc3MoADIfEAEiG9V-tnotL2lPKVxWnEuKfJugO_kQ8fImSYNPHDIbEAIiF2JveGluZyBjbGFzcyBpbiBjaGljYWdv4AEA-gEECAAQPA!16s%2Fg%2F1pzrklrlx?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
One Way Boxing Club,https://www.onewayboxingclub.com/,,"1001 N North Branch St, Chicago, IL 60642",1001 N North Branch St,Chicago,IL,60642,18,4.9,"{""Friday"":""8 AM–12 PM"",""Monday"":""6:30 AM–12 PM"",""Saturday"":""8 AM–12 PM"",""Sunday"":""Closed"",""Thursday"":""6:30 AM–12 PM"",""Tuesday"":""6:30 AM–12 PM"",""Wednesday"":""6:30 AM–12 PM""}",41.90106,-87.6512504,"https://www.google.com/maps/place/One+Way+Boxing+Club/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880fd3b0f5176159:0xae80263508d64642!8m2!3d41.90106!4d-87.6512504!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBC2JveGluZ19jbHVimgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5mYjJKUWMyZEJSUkFCqgFSEAEqECIMYm94aW5nIGNsYXNzKAAyHxABIhvVfrZ6LS9pTylcVpxLinyboDv5EPHyJkmDTxwyGxACIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb-ABAPoBBQicARBC!16s%2Fg%2F11wqlnx51b?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
TITLE Boxing Club Chicago South Loop,https://titleboxingclub.com/chicago-south-loop-il,+1 312 877 5222,"1136 S Delano Ct Suite #E203, Chicago, IL 60605",1136 S Delano Ct Suite #E203,Chicago,IL,60605,270,4.9,"{""Friday"":""6 AM–5 PM"",""Monday"":""6 AM–8 PM"",""Saturday"":""8 AM–1 PM"",""Sunday"":""8 AM–1 PM"",""Thursday"":""6 AM–8 PM"",""Tuesday"":""6 AM–8 PM"",""Wednesday"":""6 AM–8 PM""}",41.8681337,-87.6330378,"https://www.google.com/maps/place/TITLE+Boxing+Club+Chicago+South+Loop/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880e2c917f26722f:0x85725b3c476eff9e!8m2!3d41.8681337!4d-87.6330378!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhNbUp5VFMxM1JSQUKqAVIQASoQIgxib3hpbmcgY2xhc3MoADIfEAEiG9V-tnotL2lPKVxWnEuKfJugO_kQ8fImSYNPHDIbEAIiF2JveGluZyBjbGFzcyBpbiBjaGljYWdv4AEA-gEECCgQRA!16s%2Fg%2F11g6xwfpb1?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
TITLE Boxing Club Chicago Wicker Park,https://titleboxingclub.com/chicago-wicker-park-il/,+1 773 661 6746,"1355 N Milwaukee Ave, Chicago, IL 60622",1355 N Milwaukee Ave,Chicago,IL,60622,238,4.8,"{""Friday"":""6:30–9 AM"",""Monday"":""6:30–9 AM"",""Saturday"":""9 AM–12 PM"",""Sunday"":""9 AM–12 PM"",""Thursday"":""6:30–9 AM"",""Tuesday"":""6:30–9 AM"",""Wednesday"":""12–9 AM""}",41.9066018,-87.6710797,"https://www.google.com/maps/place/TITLE+Boxing+Club+Chicago+Wicker+Park/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880fd2c58e443e4b:0xa2c2fc8420a3e24a!8m2!3d41.9066018!4d-87.6710797!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUndhVWxpZFdWM0VBRaoBUhABKhAiDGJveGluZyBjbGFzcygAMh8QASIb1X62ei0vaU8pXFacS4p8m6A7-RDx8iZJg08cMhsQAiIXYm94aW5nIGNsYXNzIGluIGNoaWNhZ2_gAQD6AQQIABBD!16s%2Fg%2F11gbxc2cl7?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
Dark Horse Gym,https://www.darkhorsegymchicago.com/,+1 773 888 1643,"329 W 18th St Suite 711, Chicago, IL 60616",329 W 18th St Suite 711,Chicago,IL,60616,90,4.9,"{""Friday"":""12–1 PM"",""Monday"":""5–8:30 PM"",""Saturday"":""8 AM–1 PM"",""Sunday"":""Closed"",""Thursday"":""6–7:30 AM"",""Tuesday"":""6–7:30 AM"",""Wednesday"":""5–8:30 PM""}",41.8573366,-87.636004,"https://www.google.com/maps/place/Dark+Horse+Gym/@41.907889,-87.8273268,11.75z/data=!3m1!5s0x880e2c8af14e80eb:0xf17a4fc857ec531!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880e2da652d553cb:0xc0bbb85bbec12ecd!8m2!3d41.8573366!4d-87.636004!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmFkVmx1WldwM1JSQUKqAVIQASoQIgxib3hpbmcgY2xhc3MoADIfEAEiG9V-tnotL2lPKVxWnEuKfJugO_kQ8fImSYNPHDIbEAIiF2JveGluZyBjbGFzcyBpbiBjaGljYWdv4AEA-gEECAAQQA!16s%2Fg%2F11l2y1mgl0?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
River North Boxing Fitness,https://rivernorthboxfit.com/,+1 312 224 2444,"219 W Hubbard St, Chicago, IL 60654",219 W Hubbard St,Chicago,IL,60654,130,4.9,"{""Friday"":""5 AM–8 PM"",""Monday"":""5 AM–8 PM"",""Saturday"":""7 AM–2 PM"",""Sunday"":""7 AM–2 PM"",""Thursday"":""5 AM–8 PM"",""Tuesday"":""5 AM–8 PM"",""Wednesday"":""5 AM–8 PM""}",41.8897443,-87.6349053,"https://www.google.com/maps/place/River+North+Boxing+Fitness/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880e2df589f77b87:0xa4d0b0b3c6678802!8m2!3d41.8897443!4d-87.6349053!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBA2d5bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMWExbG1XbkJSUlJBQqoBUhABKhAiDGJveGluZyBjbGFzcygAMh8QASIb1X62ei0vaU8pXFacS4p8m6A7-RDx8iZJg08cMhsQAiIXYm94aW5nIGNsYXNzIGluIGNoaWNhZ2_gAQD6AQQIFxA_!16s%2Fg%2F11j91ynw1c?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
River West Boxing Club,http://riverwestboxing.com/,+1 312 374 3191,"770 N Halsted St p2, Chicago, IL 60642",770 N Halsted St p2,Chicago,IL,60642,10,4.9,"{""Friday"":""6:30 AM–8:30 PM"",""Monday"":""6:30 AM–8:30 PM"",""Saturday"":""8 AM–2 PM"",""Sunday"":""9 AM–1 PM"",""Thursday"":""6:30 AM–8:30 PM"",""Tuesday"":""6:30 AM–8:30 PM"",""Wednesday"":""6:30 AM–8:30 PM""}",41.8961494,-87.6483137,"https://www.google.com/maps/place/River+West+Boxing+Club/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880fd380b3e43a65:0x137befeafc3fa527!8m2!3d41.8961494!4d-87.6483137!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBC2JveGluZ19jbHVimgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU42Y2xsVU56ZG5SUkFCqgFSEAEqECIMYm94aW5nIGNsYXNzKAAyHxABIhvVfrZ6LS9pTylcVpxLinyboDv5EPHyJkmDTxwyGxACIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb-ABAPoBBAgSEC8!16s%2Fg%2F11tr_f04cj?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
Franklin Street Boxing Club,http://franklinstreetboxing.com/,+1 312 422 0755,"162 N Franklin St, Chicago, IL 60606",162 N Franklin St Suite  ???,Chicago,IL,60606,21,4.7,"{""Friday"":""8 AM–2 PM"",""Monday"":""8 AM–8 PM"",""Saturday"":""8 AM–2 PM"",""Sunday"":""Closed"",""Thursday"":""8 AM–8 PM"",""Tuesday"":""8 AM–8 PM"",""Wednesday"":""8 AM–8 PM""}",41.8849655,-87.6356534,"https://www.google.com/maps/place/Franklin+Street+Boxing+Club/@41.907889,-87.8273268,11.75z/data=!4m10!1m2!2m1!1sboxing+class+in+chicago!3m6!1s0x880e2cb9d24af109:0xcfbaadba01d6f641!8m2!3d41.8849655!4d-87.6356534!15sChdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb1oZIhdib3hpbmcgY2xhc3MgaW4gY2hpY2Fnb5IBCmJveGluZ19neW2aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjV3Vm1KSVVrZFZNbkJKVmpKS1NXRnRiREJWTVZrMFdWaEJkMW93UlJBQqoBUhABKhAiDGJveGluZyBjbGFzcygAMh8QASIb1X62ei0vaU8pXFacS4p8m6A7-RDx8iZJg08cMhsQAiIXYm94aW5nIGNsYXNzIGluIGNoaWNhZ2_gAQD6AQQIChA_!16s%2Fg%2F11btltjg4w?entry=ttu&g_ep=EgoyMDI1MDkxMC4wIKXMDSoASAFQAw%3D%3D"
